STNAME,CTYNAME,POPESTIMATE2020,GEOID,MEDIAN_HOUSEHOLD_INCOME,CENTROID
Virginia,Williamsburg city,15473,51830,67543,POINT (1682954.7847798003 1753553.358940005)
Virginia,Winchester city,28003,51840,60557,POINT (1517023.0534603654 1936828.967993756)
Washington,Adams County,20609,53001,62410,POINT (-1708017.7223026557 2869581.45413715)
Washington,Asotin County,22328,53003,65625,POINT (-1626494.8667406174 2760005.310160301)
Washington,Benton County,207426,53005,85144,POINT (-1798856.2606162054 2807020.127447166)
Washington,Chelan County,79307,53007,81697,POINT (-1835329.587301569 3002902.6424455624)
Washington,Clallam County,77365,53009,66693,POINT (-2069566.2861854665 3090207.5426200875)
Washington,Clark County,505363,53011,91149,POINT (-2034747.7479239104 2817299.1716682795)
Washington,Columbia County,3953,53013,62935,POINT (-1676729.9325324588 2784094.30357491)
Washington,Cowlitz County,111021,53015,71847,POINT (-2036572.800789352 2865804.593706679)
Washington,Douglas County,43032,53017,83870,POINT (-1771673.015441696 2971006.749796024)
Washington,Ferry County,7197,53019,57064,POINT (-1666241.850354236 3028081.460702495)
Washington,Franklin County,97152,53021,77820,POINT (-1745341.8441607985 2827416.020854702)
Washington,Garfield County,2297,53023,64413,POINT (-1646306.7383497676 2792145.519765067)
Washington,Grant County,99445,53025,63809,POINT (-1768179.6379359553 2909766.7780287634)
Washington,Grays Harbor County,75863,53027,62258,POINT (-2088139.680144016 2990541.12817862)
Washington,Island County,87007,53029,82717,POINT (-1965338.6321904608 3070373.602634434)
Washington,Jefferson County,33061,53031,69176,POINT (-2052950.8963281189 3050797.75640335)
Washington,King County,2274349,53033,116044,POINT (-1935072.377059932 2986534.144651214)
Washington,Kitsap County,275832,53035,93794,POINT (-1989812.553236429 3018608.6995855393)
Washington,Kittitas County,46823,53037,71737,POINT (-1860748.419112006 2924477.4105954804)
Washington,Klickitat County,22820,53039,70371,POINT (-1905021.0501507225 2792785.9062293083)
Washington,Lewis County,82562,53041,67954,POINT (-2003580.6638640007 2901095.864321515)
Washington,Lincoln County,10927,53043,68318,POINT (-1682238.6840982842 2930837.0664650346)
Washington,Mason County,66033,53045,78029,POINT (-2038107.1761296715 2999915.6132846246)
Washington,Okanogan County,42147,53047,58661,POINT (-1752701.4142457207 3058613.5488195815)
Washington,Pacific County,23492,53049,55615,POINT (-2102953.545160101 2927311.0508735203)
Washington,Pend Oreille County,13506,53051,59332,POINT (-1574450.931742723 3013617.952054736)
Washington,Pierce County,923655,53053,92793,POINT (-1970996.3444711275 2944794.2701535807)
Washington,San Juan County,17826,53055,84024,POINT (-1983485.4136532473 3127770.3211194365)
Washington,Skagit County,129901,53057,79118,POINT (-1901295.4357945884 3090664.885334366)
Washington,Skamania County,12045,53059,82132,POINT (-1984911.4151036176 2831853.662451797)
Washington,Snohomish County,829975,53061,101440,POINT (-1910196.9932710112 3043338.237608874)
Washington,Spokane County,541198,53063,69079,POINT (-1606381.608376744 2917966.6892740093)
Washington,Stevens County,46589,53065,65748,POINT (-1619986.064361388 3009119.3763811644)
Washington,Thurston County,296018,53067,88560,POINT (-2024998.2966376191 2947640.9474701304)
Washington,Wahkiakum County,4448,53069,70099,POINT (-2088837.491542098 2892749.70394086)
Washington,Walla Walla County,62629,53071,66542,POINT (-1721478.7482700385 2786940.6002555303)
Washington,Whatcom County,227451,53073,78796,POINT (-1889497.6777531195 3126320.653290792)
Washington,Whitman County,47821,53075,54412,POINT (-1632822.1161584388 2842501.48288804)
Washington,Yakima County,256736,53077,63058,POINT (-1884311.470271629 2854204.6978026237)
West Virginia,Barbour County,15462,54001,46302,POINT (1363582.6157881976 1904614.0774276303)
West Virginia,Berkeley County,122699,54003,70829,POINT (1523379.9510029769 1971766.5418094967)
West Virginia,Boone County,21746,54005,46508,POINT (1238918.881552341 1758424.9921093734)
West Virginia,Braxton County,12396,54007,43328,POINT (1310766.7750431967 1846927.889147031)
West Virginia,Brooke County,22484,54009,61551,POINT (1294279.4270129383 2022874.211928542)
West Virginia,Cabell County,94245,54011,51017,POINT (1185903.112460889 1795979.1313923765)
West Virginia,Calhoun County,6196,54013,43589,POINT (1274324.1206270491 1857292.1636939456)
West Virginia,Clay County,8013,54015,42604,POINT (1284623.4906679566 1815717.4106111524)
